id,donor_id,donor_name,amount,fund_id,fund_name,campus_id,campus_name,service_id,service_name,source,payment_method,status,recurring_gift_id,date,time,processing_fee,net_amount
tx_42666ff6,donor_537e93f5,Dorothy Gutierrez,1000,fund_002,Building Fund,campus_001,One Life Center,svc_002,11:00 AM,Cash,Cash,completed,,2025-02-02,12:10:00,0,1000
tx_ba16fb8a,donor_c37a721f,Donald Cruz,150,fund_001,Building Fund,campus_001,One Life Center,svc_002,11:00 AM,Online,Amex,completed,rec_e96a5f7b,2025-02-02,12:12:00,4.65,145.35
tx_7b989d9e,donor_fc696598,Gregory Thompson,50,fund_001,General Fund,campus_001,One Life Center,svc_002,11:00 AM,Online,Amex,completed,,2025-02-02,12:27:00,1.75,48.25
tx_f1f7e438,donor_2eb5987e,Jennifer James,150,fund_003,General Fund,campus_001,One Life Center,svc_002,11:00 AM,Online,ACH,completed,rec_74efd1f6,2025-02-02,12:31:00,4.65,145.35
tx_bd0cff86,donor_8877b944,Frank Price,20,fund_003,Missions,campus_001,One Life Center,svc_002,11:00 AM,Online,ACH,completed,,2025-02-02,12:36:00,0.88,19.12
tx_434a8590,donor_8b62598d,Stephen Adams,75,fund_001,General Fund,campus_001,One Life Center,svc_002,11:00 AM,Text-to-Give,Visa,completed,,2025-02-02,12:38:00,2.48,72.52
tx_76cd2e3f,donor_d9f31be3,James Flores,100,fund_001,General Fund,campus_001,One Life Center,svc_003,1:00 PM,Online,Discover,completed,,2025-02-02,12:38:00,3.2,96.8
tx_f4ff11d7,donor_81076af7,Emma Morales,50,fund_002,Building Fund,campus_001,One Life Center,svc_002,11:00 AM,Text-to-Give,Mastercard,completed,,2025-02-02,12:40:00,1.75,48.25
tx_ddfd1cc6,donor_6bf488d4,Laura Russell,100,fund_003,Missions,campus_001,One Life Center,svc_002,11:00 AM,Online,ACH,completed,,2025-02-02,12:41:00,3.2,96.8
tx_6e93b79d,donor_5c6a318f,Sharon Hernandez,20,fund_003,Missions,campus_001,One Life Center,svc_003,1:00 PM,Online,Amex,completed,,2025-02-02,13:07:00,0.88,19.12
tx_8061bd63,donor_15fc6338,Robert Sanchez,75,fund_001,General Fund,campus_001,One Life Center,svc_003,1:00 PM,Cash,Cash,completed,,2025-02-02,13:07:00,0,75
tx_c742c05f,donor_9e4053b5,Donna Rogers,150,fund_004,Youth Ministry,campus_001,One Life Center,svc_003,1:00 PM,Online,Mastercard,completed,,2025-02-02,13:18:00,4.65,145.35
tx_77adc703,donor_039f0f10,Lisa Richardson,100,fund_001,General Fund,campus_001,One Life Center,svc_003,1:00 PM,Online,Visa,completed,,2025-02-02,13:28:00,3.2,96.8
tx_8b382b4a,donor_96808a00,Nathan Miller,75,fund_001,General Fund,campus_001,One Life Center,svc_003,1:00 PM,Online,Mastercard,completed,,2025-02-02,13:47:00,2.48,72.52
tx_4c849354,donor_cf822dd8,Timothy Diaz,25,fund_001,General Fund,campus_001,One Life Center,svc_003,1:00 PM,Text-to-Give,Visa,completed,,2025-02-02,13:51:00,1.03,23.97
tx_41b378c2,donor_f23bc4ca,Sharon Johnson,100,fund_001,General Fund,campus_001,One Life Center,svc_003,1:00 PM,Cash,Cash,completed,,2025-02-02,13:58:00,0,100
tx_6873ff0f,donor_bdf69ead,Nicole Bell,250,fund_002,Building Fund,campus_001,One Life Center,svc_003,1:00 PM,Online,Mastercard,completed,,2025-02-02,14:07:00,7.55,242.45
tx_fdaa969e,donor_11848a94,Edward Nguyen,75,fund_001,Youth Ministry,campus_001,One Life Center,svc_003,1:00 PM,Online,Amex,completed,rec_3149e20d,2025-02-02,14:11:00,2.48,72.53
tx_fd8e43ea,donor_310e10a6,Nicole Myers,75,fund_003,Missions,campus_001,One Life Center,svc_001,9:00 AM,Online,ACH,completed,rec_ec765009,2025-02-09,08:05:00,2.48,72.53
tx_f59c0b7f,donor_6712f505,Donna Cooper,20,fund_002,Building Fund,campus_001,One Life Center,svc_001,9:00 AM,Online,Mastercard,completed,,2025-02-09,08:10:00,0.88,19.12
tx_a93d0e7c,donor_7fed6419,Mary Ramirez,150,fund_002,General Fund,campus_001,One Life Center,svc_001,9:00 AM,Online,Mastercard,completed,rec_88cf3da6,2025-02-09,08:12:00,4.65,145.35
tx_5dbf8725,donor_bc2d1347,Margaret Myers,50,fund_001,General Fund,campus_001,One Life Center,svc_001,9:00 AM,Online,Discover,completed,,2025-02-09,08:22:00,1.75,48.25
tx_53309983,donor_fdc1ad70,William Ward,100,fund_005,Benevolence,campus_001,One Life Center,svc_001,9:00 AM,Cash,Cash,failed,,2025-02-09,08:22:00,0,100
tx_72566ed5,donor_39a3ab71,Dorothy Nguyen,200,fund_001,Building Fund,campus_001,One Life Center,svc_001,9:00 AM,Online,Amex,completed,rec_a93f6839,2025-02-09,08:25:00,6.1,193.9
tx_6dbbe65a,donor_4d2ef15d,Christine Parker,50,fund_004,Youth Ministry,campus_001,One Life Center,svc_001,9:00 AM,Cash,Cash,completed,,2025-02-09,08:33:00,0,50
tx_70ee6e5c,donor_c750b480,Jose Hernandez,75,fund_001,General Fund,campus_001,One Life Center,svc_001,9:00 AM,Online,Mastercard,completed,rec_d9e8ff50,2025-02-09,08:42:00,2.48,72.53
tx_35cf0b9a,donor_3c8f06b1,Amanda Flores,100,fund_001,General Fund,campus_001,One Life Center,svc_001,9:00 AM,Online,Visa,completed,rec_51047834,2025-02-09,08:43:00,3.2,96.8
tx_ce93dab6,donor_4f1f4e89,Diane Lopez,100,fund_001,General Fund,campus_001,One Life Center,svc_001,9:00 AM,Online,Mastercard,completed,,2025-02-09,08:49:00,3.2,96.8
tx_6bc8bacc,donor_ff1b15ef,Joyce Collins,25,fund_002,Building Fund,campus_001,One Life Center,svc_001,9:00 AM,Online,Mastercard,completed,,2025-02-09,08:52:00,1.03,23.97
tx_5171e564,donor_188a9d25,Gregory Baker,100,fund_001,General Fund,campus_001,One Life Center,svc_001,9:00 AM,Online,Discover,completed,,2025-02-09,09:01:00,3.2,96.8
tx_9bf784be,donor_6b9c3496,Lisa Jackson,50,fund_002,Building Fund,campus_001,One Life Center,svc_001,9:00 AM,Online,Mastercard,completed,,2025-02-09,09:01:00,1.75,48.25
tx_962bb450,donor_2bcd9033,Kathleen Bell,250,fund_001,General Fund,campus_001,One Life Center,svc_001,9:00 AM,Online,Mastercard,completed,,2025-02-09,09:03:00,7.55,242.45
tx_af19e0e7,donor_97073d62,Nathan Ortiz,100,fund_003,Missions,campus_001,One Life Center,svc_001,9:00 AM,Online,Visa,completed,,2025-02-09,09:12:00,3.2,96.8
tx_3fc0da4b,donor_dd18707c,Emily Cook,75,fund_001,General Fund,campus_001,One Life Center,svc_001,9:00 AM,Text-to-Give,Visa,completed,,2025-02-09,09:12:00,2.48,72.52
tx_6987030e,donor_62f603da,Diane Robinson,100,fund_001,General Fund,campus_001,One Life Center,svc_001,9:00 AM,Online,Mastercard,completed,rec_e27af250,2025-02-09,09:18:00,3.2,96.8
tx_ec079a3f,donor_b5aa4d4f,Susan James,500,fund_001,General Fund,campus_001,One Life Center,svc_001,9:00 AM,Text-to-Give,Visa,completed,,2025-02-09,09:20:00,14.8,485.2
tx_63fa4ff4,donor_56feb558,Anna Lewis,100,fund_001,General Fund,campus_001,One Life Center,svc_001,9:00 AM,Online,Mastercard,completed,,2025-02-09,09:26:00,3.2,96.8
tx_3b66c8cf,donor_099b83a3,Adam Richardson,50,fund_001,General Fund,campus_001,One Life Center,svc_001,9:00 AM,Online,Discover,completed,,2025-02-09,09:29:00,1.75,48.25
tx_41b5a649,donor_c8e7af8a,Ryan Reyes,500,fund_001,General Fund,campus_001,One Life Center,svc_001,9:00 AM,Online,Amex,completed,,2025-02-09,09:37:00,14.8,485.2
tx_3a2f770a,donor_12b2187b,Daniel Nguyen,250,fund_001,General Fund,campus_001,One Life Center,svc_001,9:00 AM,Online,Amex,completed,rec_36a55f21,2025-02-09,09:38:00,7.55,242.45
tx_eb20ec05,donor_687ebbdb,Ashley Edwards,150,fund_001,General Fund,campus_001,One Life Center,svc_001,9:00 AM,Online,Visa,completed,rec_2952204f,2025-02-09,09:40:00,4.65,145.35
tx_2261a655,donor_11b90df1,Jose Reyes,150,fund_001,Missions,campus_001,One Life Center,svc_001,9:00 AM,Online,Visa,completed,rec_4db5a048,2025-02-09,09:44:00,4.65,145.35
tx_16b57530,donor_e09388d4,Ryan Lopez,100,fund_003,Building Fund,campus_001,One Life Center,svc_001,9:00 AM,Online,Amex,completed,rec_abdd7d86,2025-02-09,09:45:00,3.2,96.8
tx_faae081b,donor_a5532186,Helen Moore,100,fund_001,General Fund,campus_001,One Life Center,svc_001,9:00 AM,Check,Check,completed,,2025-02-09,09:49:00,0,100
tx_f29a47b0,donor_10253a2d,Dennis Carter,200,fund_001,General Fund,campus_001,One Life Center,svc_001,9:00 AM,Online,Mastercard,completed,,2025-02-09,09:52:00,6.1,193.9
tx_29749ab1,donor_77004dab,Maria Nelson,150,fund_001,General Fund,campus_001,One Life Center,svc_001,9:00 AM,Online,ACH,completed,,2025-02-09,09:55:00,4.65,145.35
tx_cb5d5edf,donor_760a003a,Debra Peterson,100,fund_001,General Fund,campus_001,One Life Center,svc_001,9:00 AM,Online,Visa,completed,rec_f151208c,2025-02-09,09:56:00,3.2,96.8
tx_13537012,donor_544b3158,Robert Flores,400,fund_004,General Fund,campus_001,One Life Center,svc_001,9:00 AM,Online,Amex,completed,rec_ddf6ef92,2025-02-09,09:57:00,11.9,388.1
tx_61b0cca4,donor_d2b3cbc4,Jack Hernandez,10,fund_001,General Fund,campus_001,One Life Center,svc_001,9:00 AM,Text-to-Give,ACH,completed,,2025-02-09,09:59:00,0.59,9.41
tx_1a7914de,donor_aa7c044f,David Adams,50,fund_001,General Fund,campus_001,One Life Center,svc_001,9:00 AM,Online,Mastercard,completed,rec_0bd71e6c,2025-02-09,10:03:00,1.75,48.25
tx_39e3e0c4,donor_dc5ceb75,Maria Turner,75,fund_001,General Fund,campus_001,One Life Center,svc_001,9:00 AM,Online,ACH,completed,,2025-02-09,10:05:00,2.48,72.52
tx_5c0c94df,donor_bda282ed,Peter Cruz,50,fund_001,General Fund,campus_001,One Life Center,svc_002,11:00 AM,Text-to-Give,Mastercard,completed,,2025-02-09,10:06:00,1.75,48.25
tx_0a517754,donor_6dfc3662,Benjamin Adams,75,fund_001,General Fund,campus_001,One Life Center,svc_001,9:00 AM,Text-to-Give,Mastercard,completed,,2025-02-09,10:06:00,2.48,72.52
tx_8b4ba60e,donor_aa2ee2bc,Debra Martinez,200,fund_001,General Fund,campus_001,One Life Center,svc_001,9:00 AM,Online,Mastercard,completed,rec_6394a68c,2025-02-09,10:11:00,6.1,193.9
tx_77973a36,donor_86f38fb5,Amy Thompson,150,fund_001,General Fund,campus_001,One Life Center,svc_001,9:00 AM,Cash,Cash,completed,,2025-02-09,10:13:00,0,150
tx_a6074fb4,donor_a0f200fd,Margaret King,10,fund_003,Missions,campus_001,One Life Center,svc_001,9:00 AM,Check,Check,completed,,2025-02-09,10:15:00,0,10
tx_6932ac23,donor_531e1e3e,Victoria Wright,50,fund_001,General Fund,campus_001,One Life Center,svc_001,9:00 AM,Online,ACH,completed,,2025-02-09,10:16:00,1.75,48.25
tx_206c3061,donor_79588c8a,Samuel Phillips,100,fund_005,Benevolence,campus_001,One Life Center,svc_001,9:00 AM,Check,Check,completed,,2025-02-09,10:16:00,0,100
tx_32f8f22b,donor_0106f8a7,Stephen Cruz,150,fund_001,Building Fund,campus_001,One Life Center,svc_001,9:00 AM,Online,Visa,completed,rec_2417247b,2025-02-09,10:18:00,4.65,145.35
tx_26ac62f4,donor_cef6e560,Barbara Powell,100,fund_001,General Fund,campus_001,One Life Center,svc_002,11:00 AM,Cash,Cash,completed,,2025-02-09,10:23:00,0,100
tx_6847889d,donor_b34d71fb,Deborah Campbell,300,fund_001,General Fund,campus_001,One Life Center,svc_001,9:00 AM,Text-to-Give,ACH,completed,,2025-02-09,10:27:00,9.0,291.0
tx_5ca68972,donor_8a22319b,Zachary Thomas,100,fund_001,General Fund,campus_001,One Life Center,svc_001,9:00 AM,Text-to-Give,Visa,completed,,2025-02-09,10:27:00,3.2,96.8
tx_36c481f8,donor_c7141801,Eric Thompson,300,fund_001,General Fund,campus_001,One Life Center,svc_002,11:00 AM,Online,Visa,completed,,2025-02-09,10:28:00,9.0,291.0
tx_a7ee6a05,donor_d9f31be3,James Flores,20,fund_001,General Fund,campus_001,One Life Center,svc_002,11:00 AM,Online,Discover,completed,,2025-02-09,10:29:00,0.88,19.12
tx_758790ed,donor_96808a00,Nathan Miller,200,fund_004,General Fund,campus_001,One Life Center,svc_002,11:00 AM,Online,Visa,completed,rec_b5d99cf3,2025-02-09,10:32:00,6.1,193.9
tx_9f926ba2,donor_73e4c106,Kyle Diaz,100,fund_001,General Fund,campus_001,One Life Center,svc_001,9:00 AM,Online,Visa,completed,rec_ad9ba52a,2025-02-09,10:34:00,3.2,96.8
tx_bec2d88b,donor_af5eda10,Robert Ross,150,fund_001,General Fund,campus_001,One Life Center,svc_002,11:00 AM,Online,Amex,completed,,2025-02-09,10:34:00,4.65,145.35
tx_424442aa,donor_a07a6127,Gary Murphy,250,fund_001,General Fund,campus_001,One Life Center,svc_001,9:00 AM,Online,ACH,completed,rec_5b00bd42,2025-02-09,10:37:00,7.55,242.45
tx_31593b52,donor_a56902b7,Patricia Reyes,75,fund_001,Missions,campus_001,One Life Center,svc_001,9:00 AM,Online,Amex,completed,rec_a3f15fbf,2025-02-09,10:38:00,2.48,72.53
tx_5c1709f6,donor_5aff5a8d,Alexander Hill,50,fund_001,General Fund,campus_001,One Life Center,svc_002,11:00 AM,Online,Visa,completed,,2025-02-09,10:38:00,1.75,48.25
tx_05d106a9,donor_61a1d4b4,Jose Cooper,50,fund_001,General Fund,campus_001,One Life Center,svc_002,11:00 AM,Text-to-Give,ACH,completed,,2025-02-09,10:40:00,1.75,48.25
tx_bf44bfd4,donor_247e67cf,George Reyes,100,fund_001,General Fund,campus_001,One Life Center,svc_001,9:00 AM,Online,ACH,completed,rec_28b72006,2025-02-09,10:41:00,3.2,96.8
tx_6cc486ff,donor_d53ed5fd,Douglas Rogers,10,fund_001,General Fund,campus_001,One Life Center,svc_002,11:00 AM,Online,ACH,completed,,2025-02-09,10:41:00,0.59,9.41
tx_719d8841,donor_458d1d3f,Jennifer Sanders,100,fund_001,General Fund,campus_001,One Life Center,svc_002,11:00 AM,Online,Discover,completed,,2025-02-09,10:42:00,3.2,96.8
tx_29e48f82,donor_9c85578e,Anna Rodriguez,200,fund_001,General Fund,campus_001,One Life Center,svc_001,9:00 AM,Online,Amex,completed,,2025-02-09,10:43:00,6.1,193.9
tx_dabad8c7,donor_310e10a6,Nicole Myers,20,fund_002,Building Fund,campus_001,One Life Center,svc_002,11:00 AM,Text-to-Give,ACH,completed,,2025-02-09,10:43:00,0.88,19.12
tx_7cc563f2,donor_fd4a8f85,Joyce Sanchez,25,fund_001,Youth Ministry,campus_001,One Life Center,svc_002,11:00 AM,Online,Visa,completed,rec_864a8d20,2025-02-09,10:45:00,1.03,23.98
tx_86189162,donor_24f22305,Gregory Ortiz,50,fund_001,General Fund,campus_001,One Life Center,svc_001,9:00 AM,Cash,Cash,completed,,2025-02-09,10:45:00,0,50
tx_ce2b7815,donor_aa7c044f,David Adams,50,fund_001,General Fund,campus_001,One Life Center,svc_002,11:00 AM,Online,Mastercard,completed,,2025-02-09,10:45:00,1.75,48.25
tx_97e7803c,donor_5669cd91,Christina Cooper,200,fund_003,General Fund,campus_001,One Life Center,svc_002,11:00 AM,Online,ACH,completed,rec_0d26047b,2025-02-09,10:46:00,6.1,193.9
tx_5492c8bf,donor_cd054ee8,Victoria Watson,20,fund_001,General Fund,campus_001,One Life Center,svc_001,9:00 AM,Online,Amex,completed,,2025-02-09,10:50:00,0.88,19.12
tx_ec4a73be,donor_fd58b5cf,Debra Miller,75,fund_001,General Fund,campus_001,One Life Center,svc_002,11:00 AM,Online,Visa,completed,,2025-02-09,10:52:00,2.48,72.52
tx_5f3a9a51,donor_b7484016,Heather Lee,200,fund_003,General Fund,campus_001,One Life Center,svc_001,9:00 AM,Online,ACH,completed,rec_b03fc1ce,2025-02-09,10:59:00,6.1,193.9
tx_8e70c857,donor_af3b907d,Pamela Russell,300,fund_002,Building Fund,campus_001,One Life Center,svc_002,11:00 AM,Text-to-Give,ACH,completed,,2025-02-09,11:06:00,9.0,291.0
tx_c52f9acf,donor_95636728,Margaret Murphy,200,fund_005,Benevolence,campus_001,One Life Center,svc_002,11:00 AM,Text-to-Give,ACH,completed,,2025-02-09,11:08:00,6.1,193.9
tx_3cd7e16f,donor_764ead35,Scott Martin,20,fund_001,General Fund,campus_001,One Life Center,svc_002,11:00 AM,Cash,Cash,completed,,2025-02-09,11:09:00,0,20
tx_788f0c11,donor_98b7d53d,Barbara Ortiz,75,fund_001,General Fund,campus_001,One Life Center,svc_002,11:00 AM,Online,Amex,completed,rec_36b74339,2025-02-09,11:12:00,2.48,72.53
tx_3bfb4594,donor_4f1f4e89,Diane Lopez,100,fund_001,General Fund,campus_001,One Life Center,svc_002,11:00 AM,Online,Visa,completed,,2025-02-09,11:19:00,3.2,96.8
tx_6825f444,donor_936a58c0,Charles Ortiz,50,fund_001,General Fund,campus_001,One Life Center,svc_002,11:00 AM,Check,Check,completed,,2025-02-09,11:20:00,0,50
tx_b03ad58f,donor_8db87929,Michael Clark,150,fund_001,General Fund,campus_001,One Life Center,svc_002,11:00 AM,Online,Visa,completed,rec_87e982d9,2025-02-09,11:25:00,4.65,145.35
tx_2f4675e0,donor_c1310150,Patrick Bell,100,fund_001,General Fund,campus_001,One Life Center,svc_002,11:00 AM,Online,Amex,completed,,2025-02-09,11:26:00,3.2,96.8
tx_7e168006,donor_7a7cda2a,Gary Bell,150,fund_001,General Fund,campus_001,One Life Center,svc_002,11:00 AM,Online,ACH,completed,,2025-02-09,11:26:00,4.65,145.35
tx_fe8bf9a9,donor_5aa8e33e,Stephanie Murphy,300,fund_001,General Fund,campus_001,One Life Center,svc_002,11:00 AM,Text-to-Give,Visa,completed,,2025-02-09,11:27:00,9.0,291.0
tx_9a611728,donor_8a7655ef,Barbara Stewart,75,fund_001,General Fund,campus_001,One Life Center,svc_002,11:00 AM,Online,Visa,completed,rec_f4513a8d,2025-02-09,11:32:00,2.48,72.53
tx_7a1d430b,donor_1a7bafb1,Christine Butler,100,fund_001,General Fund,campus_001,One Life Center,svc_002,11:00 AM,Online,ACH,completed,,2025-02-09,11:32:00,3.2,96.8
tx_6d055c5a,donor_96df7c64,Virginia King,25,fund_001,General Fund,campus_001,One Life Center,svc_002,11:00 AM,Cash,Cash,completed,,2025-02-09,11:33:00,0,25
tx_d493c9c4,donor_f9ae9703,Raymond Mitchell,200,fund_001,General Fund,campus_001,One Life Center,svc_002,11:00 AM,Online,Amex,completed,,2025-02-09,11:38:00,6.1,193.9
tx_7110972b,donor_72c322a4,Patricia Miller,100,fund_002,Building Fund,campus_001,One Life Center,svc_002,11:00 AM,Online,Amex,completed,,2025-02-09,11:40:00,3.2,96.8
tx_f097e7d3,donor_274a61a5,James Scott,75,fund_001,General Fund,campus_001,One Life Center,svc_002,11:00 AM,Cash,Cash,completed,,2025-02-09,11:42:00,0,75
tx_67e7f91d,donor_feda31dd,Alexander Sullivan,50,fund_001,General Fund,campus_001,One Life Center,svc_002,11:00 AM,Online,ACH,completed,,2025-02-09,11:52:00,1.75,48.25
tx_80ef097e,donor_b4e0f05e,Andrew Edwards,100,fund_002,Building Fund,campus_001,One Life Center,svc_002,11:00 AM,Online,ACH,completed,,2025-02-09,11:58:00,3.2,96.8
tx_332c2aba,donor_a357f7df,Donna Mitchell,25,fund_001,General Fund,campus_001,One Life Center,svc_002,11:00 AM,Online,Visa,completed,,2025-02-09,12:05:00,1.03,23.97
tx_e873cf9a,donor_50fed918,George Brooks,75,fund_001,General Fund,campus_001,One Life Center,svc_002,11:00 AM,Online,Amex,completed,,2025-02-09,12:05:00,2.48,72.52
tx_c0ac5689,donor_49b5f5dd,Margaret Russell,75,fund_003,Missions,campus_001,One Life Center,svc_002,11:00 AM,Text-to-Give,ACH,completed,,2025-02-09,12:05:00,2.48,72.52
tx_39920ec2,donor_d70f1988,Jacob Hall,50,fund_001,General Fund,campus_001,One Life Center,svc_003,1:00 PM,Online,Visa,completed,rec_8feb0943,2025-02-09,12:06:00,1.75,48.25
tx_2ec01621,donor_7c0acdd3,Virginia Adams,100,fund_001,General Fund,campus_001,One Life Center,svc_002,11:00 AM,Check,Check,completed,,2025-02-09,12:07:00,0,100
tx_658a3d97,donor_4ebb66cf,Joseph Carter,20,fund_001,General Fund,campus_001,One Life Center,svc_002,11:00 AM,Text-to-Give,Visa,completed,,2025-02-09,12:10:00,0.88,19.12
tx_5c1eaf0e,donor_15383832,Samantha Harris,20,fund_001,General Fund,campus_001,One Life Center,svc_003,1:00 PM,Cash,Cash,completed,,2025-02-09,12:11:00,0,20
tx_00405e6a,donor_a3d52c48,Dorothy Myers,10,fund_001,General Fund,campus_001,One Life Center,svc_003,1:00 PM,Online,Discover,completed,,2025-02-09,12:12:00,0.59,9.41
tx_c2406aea,donor_d3eddc2d,Donna Perez,20,fund_004,Youth Ministry,campus_001,One Life Center,svc_003,1:00 PM,Cash,Cash,refunded,,2025-02-09,12:12:00,0,20
tx_05e2cb4d,donor_7066d04c,Deborah Williams,50,fund_001,General Fund,campus_001,One Life Center,svc_002,11:00 AM,Text-to-Give,Visa,completed,,2025-02-09,12:13:00,1.75,48.25
tx_ca9136d1,donor_e15a96ab,Anthony Hernandez,25,fund_001,General Fund,campus_001,One Life Center,svc_002,11:00 AM,Online,Visa,completed,,2025-02-09,12:15:00,1.03,23.97
tx_65be2d58,donor_8bcbdd78,Joshua Lewis,100,fund_003,Missions,campus_001,One Life Center,svc_002,11:00 AM,Online,Discover,completed,,2025-02-09,12:15:00,3.2,96.8
tx_13a2b2f4,donor_cb8c9931,Aaron Edwards,100,fund_001,General Fund,campus_001,One Life Center,svc_003,1:00 PM,Online,Amex,completed,rec_073a3223,2025-02-09,12:16:00,3.2,96.8
tx_eb56b0ac,donor_a98017c5,Lisa Garcia,200,fund_001,General Fund,campus_001,One Life Center,svc_002,11:00 AM,Online,ACH,completed,rec_094ec886,2025-02-09,12:17:00,6.1,193.9
tx_39a87dcb,donor_5aff5a8d,Alexander Hill,250,fund_003,Missions,campus_001,One Life Center,svc_003,1:00 PM,Online,Mastercard,completed,,2025-02-09,12:17:00,7.55,242.45
tx_e7b71377,donor_59210549,Scott Evans,25,fund_001,General Fund,campus_001,One Life Center,svc_002,11:00 AM,Online,Amex,completed,,2025-02-09,12:18:00,1.03,23.97
tx_a45a4ca9,donor_02c4b3ba,Kimberly Johnson,150,fund_001,Building Fund,campus_001,One Life Center,svc_002,11:00 AM,Online,Amex,completed,rec_32504f61,2025-02-09,12:23:00,4.65,145.35
tx_cb3165c9,donor_789fd41b,Donna Wright,75,fund_001,General Fund,campus_001,One Life Center,svc_003,1:00 PM,Online,Mastercard,refunded,,2025-02-09,12:23:00,2.48,72.52
tx_b8098efa,donor_51483175,Shirley Parker,100,fund_001,General Fund,campus_001,One Life Center,svc_002,11:00 AM,Online,Mastercard,completed,,2025-02-09,12:23:00,3.2,96.8
tx_f4bcbb50,donor_5aa8e33e,Stephanie Murphy,250,fund_001,General Fund,campus_001,One Life Center,svc_003,1:00 PM,Online,Mastercard,completed,,2025-02-09,12:24:00,7.55,242.45
tx_c984a911,donor_282d97d2,Dennis Ward,300,fund_003,Missions,campus_001,One Life Center,svc_003,1:00 PM,Online,ACH,completed,rec_94441f0b,2025-02-09,12:25:00,9.0,291.0
tx_94352567,donor_078d3fe4,Daniel Edwards,100,fund_003,General Fund,campus_001,One Life Center,svc_002,11:00 AM,Online,Mastercard,completed,rec_573b1691,2025-02-09,12:25:00,3.2,96.8
