id,donor_id,donor_name,amount,frequency,fund_id,fund_name,campus_id,campus_name,payment_method,status,start_date,next_charge_date,last_charge_date
rec_48c8c573,donor_a493b172,Kelly Clark,50,monthly,fund_004,General Fund,campus_001,One Life Center,Amex,active,2024-07-04,2026-02-22,2026-01-23
rec_f07b3409,donor_874f6c8f,Robert Barnes,250,monthly,fund_003,General Fund,campus_001,One Life Center,Mastercard,active,2024-03-26,2026-02-25,2026-01-01
rec_1e646cc6,donor_843ce6ef,Nancy Cruz,200,monthly,fund_001,Building Fund,campus_001,One Life Center,Amex,active,2023-08-19,2026-02-07,2026-01-22
rec_573b1691,donor_078d3fe4,Daniel Edwards,100,monthly,fund_003,General Fund,campus_001,One Life Center,Mastercard,active,2023-10-13,2026-02-26,2026-01-11
rec_678458eb,donor_9c85578e,Anna Rodriguez,75,monthly,fund_003,General Fund,campus_001,One Life Center,Visa,active,2025-07-27,2026-02-10,2026-01-31
rec_1b06c797,donor_89b9454f,Matthew Jenkins,25,monthly,fund_002,Building Fund,campus_001,One Life Center,Visa,active,2025-06-10,2026-02-05,2026-01-25
rec_939c4c42,donor_3f55f691,Edward Allen,150,monthly,fund_001,General Fund,campus_001,One Life Center,Amex,cancelled,2023-11-14,,2026-01-18
rec_5adc4a49,donor_f4940322,Betty Watson,75,monthly,fund_002,Missions,campus_001,One Life Center,Amex,failed,2023-02-11,2026-01-27,2026-01-14
rec_864a8d20,donor_fd4a8f85,Joyce Sanchez,25,monthly,fund_001,Youth Ministry,campus_001,One Life Center,Visa,active,2023-03-18,2026-02-08,2026-01-17
rec_ae57dae4,donor_19184bf1,Jonathan Diaz,100,bi-weekly,fund_001,Building Fund,campus_001,One Life Center,Mastercard,active,2024-03-25,2026-02-02,2026-01-02
rec_e96a5f7b,donor_c37a721f,Donald Cruz,150,monthly,fund_001,Building Fund,campus_001,One Life Center,Amex,active,2023-07-12,2026-02-27,2026-01-28
rec_6394a68c,donor_aa2ee2bc,Debra Martinez,200,monthly,fund_001,General Fund,campus_001,One Life Center,Mastercard,active,2022-06-23,2026-02-17,2026-01-04
rec_cacece8f,donor_60eb3d56,Carolyn Parker,250,monthly,fund_002,General Fund,campus_001,One Life Center,Visa,active,2025-04-19,2026-02-07,2026-01-10
rec_2952204f,donor_687ebbdb,Ashley Edwards,150,monthly,fund_001,General Fund,campus_001,One Life Center,Visa,active,2023-07-16,2026-02-04,2026-01-08
rec_094ec886,donor_a98017c5,Lisa Garcia,200,monthly,fund_001,General Fund,campus_001,One Life Center,ACH,active,2024-04-12,2026-02-16,2026-01-24
rec_5be2669c,donor_a3a99e65,Samuel Johnson,200,monthly,fund_001,General Fund,campus_001,One Life Center,Visa,paused,2024-03-17,,2026-01-13
rec_2417247b,donor_0106f8a7,Stephen Cruz,150,monthly,fund_001,Building Fund,campus_001,One Life Center,Visa,active,2023-04-21,2026-02-16,2026-01-04
rec_8f5fd08f,donor_6482be05,Mary Foster,150,monthly,fund_001,General Fund,campus_001,One Life Center,ACH,active,2025-02-22,2026-02-28,2026-01-17
rec_5bb33a56,donor_29c85919,Emma Peterson,75,monthly,fund_001,General Fund,campus_001,One Life Center,Mastercard,active,2025-03-06,2026-02-02,2026-01-02
rec_f3e59f19,donor_5b8501ca,Richard Walker,25,monthly,fund_001,Building Fund,campus_001,One Life Center,ACH,active,2023-10-21,2026-02-20,2026-01-18
rec_f6b6e7e1,donor_49f10261,Patrick Gomez,100,bi-weekly,fund_001,General Fund,campus_001,One Life Center,Visa,active,2024-10-20,2026-02-21,2026-01-30
rec_1afe0a44,donor_ceba81f0,Samuel Ward,200,monthly,fund_001,Building Fund,campus_001,One Life Center,Mastercard,active,2022-08-04,2026-02-03,2026-01-07
rec_89e8deca,donor_3a86d61c,Joyce Nguyen,300,bi-weekly,fund_001,General Fund,campus_001,One Life Center,ACH,cancelled,2024-06-15,,2026-01-05
rec_d4ae5a22,donor_3054e35b,Jacob Lewis,100,monthly,fund_001,Youth Ministry,campus_001,One Life Center,Amex,active,2025-01-25,2026-02-01,2026-01-17
rec_64f37e70,donor_48c7cb88,Janet James,50,monthly,fund_001,General Fund,campus_001,One Life Center,Amex,active,2023-10-23,2026-02-12,2026-01-17
rec_a92f080f,donor_692788e5,Nancy Miller,100,bi-weekly,fund_002,Benevolence,campus_001,One Life Center,Mastercard,active,2025-05-23,2026-02-15,2026-01-06
rec_ad9ba52a,donor_73e4c106,Kyle Diaz,100,weekly,fund_001,General Fund,campus_001,One Life Center,Visa,active,2024-12-09,2026-02-16,2026-01-10
rec_e27af250,donor_62f603da,Diane Robinson,100,monthly,fund_001,General Fund,campus_001,One Life Center,Mastercard,active,2023-01-20,2026-02-04,2026-01-03
rec_96d60283,donor_4706f84e,Jennifer Edwards,25,monthly,fund_001,General Fund,campus_001,One Life Center,ACH,active,2023-12-19,2026-02-08,2026-01-19
rec_8582f303,donor_62c4db68,Henry Rodriguez,75,monthly,fund_001,General Fund,campus_001,One Life Center,Visa,active,2023-09-19,2026-02-25,2026-01-19
rec_a0c7a96a,donor_21aff654,Diane Morales,75,monthly,fund_001,Building Fund,campus_001,One Life Center,ACH,active,2022-11-09,2026-02-07,2026-01-11
rec_fd61379a,donor_c8ab9ddc,Anna Watson,500,monthly,fund_002,General Fund,campus_001,One Life Center,ACH,active,2025-03-24,2026-02-19,2026-01-07
rec_750b42ac,donor_ceb81738,Nancy Howard,50,monthly,fund_002,General Fund,campus_001,One Life Center,Mastercard,active,2022-12-11,2026-02-08,2026-01-16
rec_36a55f21,donor_12b2187b,Daniel Nguyen,250,bi-weekly,fund_001,General Fund,campus_001,One Life Center,Amex,active,2022-01-01,2026-02-02,2026-01-17
rec_7d466a16,donor_3337d077,Jacob Hall,100,monthly,fund_001,General Fund,campus_001,One Life Center,Amex,active,2022-08-29,2026-02-13,2026-01-17
rec_6ab9bd0b,donor_9e4053b5,Donna Rogers,500,monthly,fund_004,Missions,campus_001,One Life Center,Mastercard,cancelled,2022-06-10,,2026-01-27
rec_a3f15fbf,donor_a56902b7,Patricia Reyes,75,monthly,fund_001,Missions,campus_001,One Life Center,Amex,active,2024-06-14,2026-02-16,2026-01-06
rec_f8a29d12,donor_6dfc3662,Benjamin Adams,200,monthly,fund_001,General Fund,campus_001,One Life Center,Mastercard,cancelled,2022-02-21,,2026-01-13
rec_ed50a5c8,donor_b5c56494,Joshua Anderson,50,monthly,fund_001,General Fund,campus_001,One Life Center,Amex,active,2024-02-06,2026-02-24,2026-01-11
rec_ebc933fd,donor_20515d9a,Jose Cruz,100,monthly,fund_001,General Fund,campus_001,One Life Center,Amex,cancelled,2022-07-12,,2026-01-21
rec_f4513a8d,donor_8a7655ef,Barbara Stewart,75,monthly,fund_001,General Fund,campus_001,One Life Center,Visa,active,2024-09-07,2026-02-23,2026-01-28
rec_a420ffff,donor_2d58fa2f,Betty Wilson,100,monthly,fund_003,Building Fund,campus_001,One Life Center,Visa,failed,2024-08-22,2026-01-29,2026-01-02
rec_b03fc1ce,donor_b7484016,Heather Lee,200,bi-weekly,fund_003,General Fund,campus_001,One Life Center,ACH,active,2024-01-27,2026-02-23,2026-01-27
rec_1c7da247,donor_5f6cb95f,Anna Wright,100,monthly,fund_003,General Fund,campus_001,One Life Center,Mastercard,active,2022-09-02,2026-02-21,2026-01-21
rec_4d7368dd,donor_6d4f8d72,Diane Bailey,250,monthly,fund_001,Building Fund,campus_001,One Life Center,Amex,active,2025-06-11,2026-02-11,2026-01-17
rec_b237907d,donor_be96bdb0,Jack Collins,250,monthly,fund_001,General Fund,campus_001,One Life Center,Mastercard,paused,2022-01-30,,2026-01-24
rec_87e982d9,donor_8db87929,Michael Clark,150,weekly,fund_001,General Fund,campus_001,One Life Center,Visa,active,2023-07-01,2026-02-15,2026-01-10
rec_e8d64185,donor_1108567e,Maria Walker,150,monthly,fund_001,General Fund,campus_001,One Life Center,ACH,active,2023-07-15,2026-02-04,2026-01-03
rec_af6b4b0f,donor_7a176a8e,Shirley Bell,50,bi-weekly,fund_001,General Fund,campus_001,One Life Center,Visa,cancelled,2022-08-27,,2026-01-25
rec_8d7f3c19,donor_dcc62d42,Donna Garcia,100,monthly,fund_003,Youth Ministry,campus_001,One Life Center,Amex,active,2022-12-13,2026-02-07,2026-01-27
rec_c4c8d42a,donor_d8703d5b,Nicholas Torres,200,monthly,fund_002,General Fund,campus_001,One Life Center,ACH,paused,2025-08-08,,2026-01-23
rec_2b71ef8d,donor_dca59990,Douglas Ortiz,100,monthly,fund_003,General Fund,campus_001,One Life Center,Mastercard,active,2023-08-11,2026-02-05,2026-01-06
rec_a9a23d4c,donor_1eb8e43f,Mary Torres,100,monthly,fund_001,General Fund,campus_001,One Life Center,ACH,active,2023-08-28,2026-02-15,2026-01-27
rec_48ea7157,donor_86d7aaca,Melissa Hall,250,weekly,fund_001,General Fund,campus_001,One Life Center,Mastercard,active,2025-07-16,2026-02-06,2026-01-23
rec_3149e20d,donor_11848a94,Edward Nguyen,75,monthly,fund_001,Youth Ministry,campus_001,One Life Center,Amex,active,2024-06-07,2026-02-26,2026-01-03
rec_6d882571,donor_cc2b594d,Brian Price,75,bi-weekly,fund_004,General Fund,campus_001,One Life Center,Mastercard,active,2024-11-17,2026-02-09,2026-01-16
rec_580e66e8,donor_35595a8a,Kyle Ross,100,monthly,fund_001,General Fund,campus_001,One Life Center,Visa,active,2022-10-14,2026-02-11,2026-01-21
rec_df33c0c3,donor_071fa637,James Gray,100,weekly,fund_001,General Fund,campus_001,One Life Center,Visa,cancelled,2024-01-05,,2026-01-06
rec_b68547ec,donor_c63fe618,Kimberly Cook,200,monthly,fund_001,General Fund,campus_001,One Life Center,ACH,active,2024-01-04,2026-02-15,2026-01-24
rec_c10bffb2,donor_3c58c0c6,Emily Richardson,100,monthly,fund_001,General Fund,campus_001,One Life Center,Amex,active,2024-03-28,2026-02-08,2026-01-02
rec_7c6a7483,donor_6fed5f4d,John Brooks,100,bi-weekly,fund_001,General Fund,campus_001,One Life Center,Visa,active,2023-04-25,2026-02-17,2026-01-06
rec_2b53c58d,donor_1b720472,Mark Campbell,500,monthly,fund_004,General Fund,campus_001,One Life Center,Mastercard,active,2024-11-14,2026-02-10,2026-01-05
rec_d1b6cd97,donor_82e50e2f,James Evans,100,monthly,fund_002,Building Fund,campus_001,One Life Center,ACH,active,2025-09-20,2026-02-02,2026-01-13
rec_b8ce2625,donor_2a3e71c8,Samuel Richardson,300,bi-weekly,fund_001,General Fund,campus_001,One Life Center,Mastercard,active,2022-12-05,2026-02-22,2026-01-28
rec_0d26047b,donor_5669cd91,Christina Cooper,200,bi-weekly,fund_003,General Fund,campus_001,One Life Center,ACH,active,2023-02-21,2026-02-24,2026-01-06
rec_888da539,donor_0dc5d942,Amy Collins,200,monthly,fund_003,General Fund,campus_001,One Life Center,ACH,active,2023-12-07,2026-02-18,2026-01-23
rec_564a1e12,donor_ef9f2110,Eric Foster,100,monthly,fund_004,General Fund,campus_001,One Life Center,Amex,active,2023-05-13,2026-02-04,2026-01-29
rec_ad16fe64,donor_7bb3a32a,Carolyn Rivera,150,monthly,fund_001,General Fund,campus_001,One Life Center,Visa,active,2023-08-03,2026-02-24,2026-01-08
rec_0bb34c92,donor_764b0dd2,Charles Carter,100,monthly,fund_003,General Fund,campus_001,One Life Center,ACH,active,2025-05-31,2026-02-08,2026-01-30
rec_e5ba374c,donor_cf822dd8,Timothy Diaz,25,monthly,fund_001,General Fund,campus_001,One Life Center,ACH,active,2022-06-08,2026-02-05,2026-01-21
rec_0a3c9ba0,donor_c3d6bc99,Patrick Walker,200,monthly,fund_001,General Fund,campus_001,One Life Center,ACH,active,2023-01-04,2026-02-10,2026-01-06
rec_e712e881,donor_7292bffb,Jerry Edwards,100,monthly,fund_001,General Fund,campus_001,One Life Center,Visa,active,2022-12-01,2026-02-17,2026-01-21
rec_8c6315b2,donor_7ca88dae,Catherine Moore,50,bi-weekly,fund_001,General Fund,campus_001,One Life Center,Visa,active,2024-04-08,2026-02-01,2026-01-16
rec_e148486e,donor_3033fd91,Sharon Perry,200,monthly,fund_001,General Fund,campus_001,One Life Center,Visa,paused,2025-09-01,,2026-01-20
rec_e3e72042,donor_61a1d4b4,Jose Cooper,100,monthly,fund_001,General Fund,campus_001,One Life Center,Mastercard,active,2024-07-11,2026-02-25,2026-01-14
rec_327d361a,donor_dc5ceb75,Maria Turner,50,monthly,fund_001,Youth Ministry,campus_001,One Life Center,Amex,active,2024-12-24,2026-02-28,2026-01-07
rec_8a5478da,donor_b3adf377,Andrew Rivera,100,monthly,fund_001,General Fund,campus_001,One Life Center,ACH,active,2024-11-20,2026-02-24,2026-01-15
rec_ea939b10,donor_b849d9fa,Rebecca Ortiz,75,monthly,fund_001,General Fund,campus_001,One Life Center,Visa,active,2024-01-22,2026-02-20,2026-01-18
rec_e3818a51,donor_7b6a4266,Emma Bennett,100,monthly,fund_001,General Fund,campus_001,One Life Center,Visa,active,2023-07-02,2026-02-12,2026-01-12
rec_cd52f4b4,donor_f8f9637a,Elizabeth Long,50,bi-weekly,fund_001,Building Fund,campus_001,One Life Center,ACH,active,2022-03-16,2026-02-13,2026-01-14
rec_ec765009,donor_310e10a6,Nicole Myers,75,monthly,fund_003,Missions,campus_001,One Life Center,ACH,active,2023-07-17,2026-02-15,2026-01-02
rec_872973a1,donor_60b88a39,Brenda Carter,500,bi-weekly,fund_001,Missions,campus_001,One Life Center,ACH,active,2022-06-06,2026-02-02,2026-01-17
rec_de693138,donor_29e3b82c,Nicholas Garcia,100,monthly,fund_001,Youth Ministry,campus_001,One Life Center,Amex,active,2022-06-11,2026-02-21,2026-01-24
rec_294a3880,donor_1d15e973,Christopher Walker,100,monthly,fund_001,General Fund,campus_001,One Life Center,Amex,active,2025-08-30,2026-02-03,2026-01-10
rec_9aed38fd,donor_3d4b4ac9,Betty Reed,200,monthly,fund_001,General Fund,campus_001,One Life Center,Mastercard,active,2025-06-14,2026-02-28,2026-01-25
rec_d9e8ff50,donor_c750b480,Jose Hernandez,75,monthly,fund_001,General Fund,campus_001,One Life Center,Mastercard,active,2024-06-13,2026-02-23,2026-01-22
rec_43cd57e3,donor_80d40deb,Cynthia Moore,200,bi-weekly,fund_001,General Fund,campus_001,One Life Center,ACH,active,2023-08-07,2026-02-14,2026-01-20
rec_983122be,donor_7e160580,Emily Myers,200,bi-weekly,fund_001,General Fund,campus_001,One Life Center,ACH,active,2025-07-24,2026-02-08,2026-01-19
rec_073a3223,donor_cb8c9931,Aaron Edwards,100,monthly,fund_001,General Fund,campus_001,One Life Center,Amex,active,2024-05-11,2026-02-11,2026-01-12
rec_851859f8,donor_af3b907d,Pamela Russell,75,monthly,fund_001,General Fund,campus_001,One Life Center,Amex,active,2024-06-29,2026-02-28,2026-01-13
rec_c115a738,donor_f9d7edcf,Victoria Cruz,150,monthly,fund_001,General Fund,campus_001,One Life Center,Mastercard,active,2022-03-08,2026-02-19,2026-01-24
rec_3ef1c0eb,donor_010f6e6c,Jennifer Morales,100,monthly,fund_001,General Fund,campus_001,One Life Center,Mastercard,active,2024-12-20,2026-02-10,2026-01-20
rec_c959b07c,donor_4ebb66cf,Joseph Carter,25,monthly,fund_005,General Fund,campus_001,One Life Center,ACH,active,2023-12-22,2026-02-14,2026-01-08
rec_a8698e81,donor_ce7f7af6,Helen Evans,150,bi-weekly,fund_003,General Fund,campus_001,One Life Center,Mastercard,paused,2024-02-08,,2026-01-07
rec_26633472,donor_1339d7b0,Betty Perez,200,monthly,fund_005,Benevolence,campus_001,One Life Center,ACH,active,2022-08-15,2026-02-06,2026-01-12
rec_8da9ad68,donor_163140c7,Brian Hall,200,monthly,fund_001,General Fund,campus_001,One Life Center,Amex,active,2023-03-22,2026-02-20,2026-01-17
rec_8b2e914e,donor_66147e8c,Raymond Morales,100,monthly,fund_001,Missions,campus_001,One Life Center,ACH,active,2025-01-01,2026-02-08,2026-01-06
rec_5be8941a,donor_41d90458,Angela Gray,100,monthly,fund_001,General Fund,campus_001,One Life Center,Visa,active,2022-12-30,2026-02-01,2026-01-13
rec_a7dc2e86,donor_7e3fc3ec,Ashley Ramirez,150,monthly,fund_001,General Fund,campus_001,One Life Center,Visa,active,2025-04-03,2026-02-14,2026-01-20
rec_2996627f,donor_b3f1c3d6,Steven Robinson,75,monthly,fund_001,General Fund,campus_001,One Life Center,Visa,active,2025-03-14,2026-02-01,2026-01-31
rec_5dfdaa5f,donor_d753a50d,Catherine Sanchez,150,monthly,fund_001,Missions,campus_001,One Life Center,Mastercard,active,2024-01-29,2026-02-20,2026-01-15
rec_ddf6ef92,donor_544b3158,Robert Flores,400,bi-weekly,fund_004,General Fund,campus_001,One Life Center,Amex,active,2024-01-26,2026-02-08,2026-01-03
rec_399a807b,donor_c1310150,Patrick Bell,200,monthly,fund_001,General Fund,campus_001,One Life Center,Mastercard,active,2022-03-05,2026-02-15,2026-01-15
rec_b29b2057,donor_46b02e72,Lauren Reyes,100,monthly,fund_004,General Fund,campus_001,One Life Center,ACH,active,2024-10-21,2026-02-26,2026-01-24
rec_f7c96e2a,donor_e0347f94,Patrick Allen,100,monthly,fund_001,General Fund,campus_001,One Life Center,ACH,active,2022-05-24,2026-02-02,2026-01-03
rec_2a68088d,donor_2d644da4,Amanda Myers,100,monthly,fund_002,General Fund,campus_001,One Life Center,Visa,paused,2024-05-04,,2026-01-15
rec_abdd7d86,donor_e09388d4,Ryan Lopez,100,monthly,fund_003,Building Fund,campus_001,One Life Center,Amex,active,2024-09-11,2026-02-02,2026-01-13
rec_cd1376a7,donor_10253a2d,Dennis Carter,50,monthly,fund_001,General Fund,campus_001,One Life Center,Visa,active,2024-11-13,2026-02-15,2026-01-24
rec_e783b676,donor_7b96758b,Mary Thomas,300,monthly,fund_002,General Fund,campus_001,One Life Center,Visa,active,2022-12-13,2026-02-22,2026-01-11
rec_2219682d,donor_0c7e0ecf,Michelle Jones,100,monthly,fund_001,General Fund,campus_001,One Life Center,Amex,active,2025-08-07,2026-02-15,2026-01-23
rec_d9be7bd4,donor_dc2635c3,Lisa Smith,150,monthly,fund_001,Building Fund,campus_001,One Life Center,Mastercard,active,2024-06-29,2026-02-15,2026-01-17
rec_a93f6839,donor_39a3ab71,Dorothy Nguyen,200,monthly,fund_001,Building Fund,campus_001,One Life Center,Amex,active,2023-08-14,2026-02-12,2026-01-16
rec_1f8eb594,donor_d525d409,Raymond Lewis,200,monthly,fund_001,General Fund,campus_001,One Life Center,ACH,active,2024-06-19,2026-02-05,2026-01-09
rec_e2742e66,donor_79f695e9,Janet Cooper,100,bi-weekly,fund_001,General Fund,campus_001,One Life Center,ACH,active,2025-07-28,2026-02-28,2026-01-16
rec_898acfbe,donor_2069c71d,Margaret Richardson,150,monthly,fund_001,General Fund,campus_001,One Life Center,Amex,cancelled,2025-06-20,,2026-01-13
rec_4dc0b8a4,donor_458d1d3f,Jennifer Sanders,50,monthly,fund_003,General Fund,campus_001,One Life Center,Visa,active,2024-09-20,2026-02-28,2026-01-11
rec_88cf3da6,donor_7fed6419,Mary Ramirez,150,bi-weekly,fund_002,General Fund,campus_001,One Life Center,Mastercard,active,2023-04-06,2026-02-08,2026-01-12
rec_69854d9e,donor_6281cd77,Gregory Miller,250,monthly,fund_003,Building Fund,campus_001,One Life Center,Mastercard,active,2024-10-18,2026-02-21,2026-01-24
rec_8feb0943,donor_d70f1988,Jacob Hall,50,monthly,fund_001,General Fund,campus_001,One Life Center,Visa,active,2023-02-19,2026-02-02,2026-01-26
rec_99bf782b,donor_5d92ccfe,Kimberly Edwards,75,bi-weekly,fund_002,General Fund,campus_001,One Life Center,Mastercard,active,2022-04-25,2026-02-17,2026-01-08
rec_908c3cec,donor_43debf25,Susan Cook,75,monthly,fund_002,Building Fund,campus_001,One Life Center,Visa,active,2024-07-23,2026-02-20,2026-01-29
rec_ca4706ca,donor_a8b28c0d,David Jones,75,bi-weekly,fund_002,General Fund,campus_001,One Life Center,Visa,active,2022-09-29,2026-02-02,2026-01-18
rec_f151208c,donor_760a003a,Debra Peterson,100,weekly,fund_001,General Fund,campus_001,One Life Center,Visa,active,2022-04-15,2026-02-21,2026-01-18
rec_6fc6908f,donor_db656dc9,Andrew Cook,25,monthly,fund_001,Missions,campus_001,One Life Center,ACH,active,2025-04-22,2026-02-16,2026-01-25
rec_031820f2,donor_c16b4a34,Lisa Parker,200,monthly,fund_005,General Fund,campus_001,One Life Center,ACH,active,2025-08-09,2026-02-26,2026-01-20
rec_c7baca4d,donor_5669b3eb,Paul Butler,100,monthly,fund_001,General Fund,campus_001,One Life Center,Amex,active,2023-07-09,2026-02-06,2026-01-28
rec_1497d6c5,donor_e3c78013,Janet Murphy,100,monthly,fund_001,General Fund,campus_001,One Life Center,Mastercard,active,2024-12-25,2026-02-09,2026-01-16
rec_336ee0da,donor_be222606,Brandon Thomas,50,monthly,fund_001,General Fund,campus_001,One Life Center,Amex,active,2022-01-14,2026-02-17,2026-01-04
rec_76bab91e,donor_914a9077,Justin Kelly,50,monthly,fund_002,Building Fund,campus_001,One Life Center,Mastercard,active,2024-06-26,2026-02-22,2026-01-10
rec_64851372,donor_2a4241eb,Donna Torres,50,monthly,fund_001,General Fund,campus_001,One Life Center,Mastercard,active,2024-10-24,2026-02-25,2026-01-11
rec_66901ae6,donor_8da3fae9,Gary Gray,250,monthly,fund_001,General Fund,campus_001,One Life Center,ACH,active,2022-11-17,2026-02-13,2026-01-21
rec_6cdcbb81,donor_441e816e,Alexander Price,75,monthly,fund_001,Youth Ministry,campus_001,One Life Center,Amex,active,2025-05-04,2026-02-25,2026-01-12
rec_bb035330,donor_0940eb0f,George Myers,200,monthly,fund_001,General Fund,campus_001,One Life Center,ACH,active,2022-10-24,2026-02-24,2026-01-25
rec_28b72006,donor_247e67cf,George Reyes,100,weekly,fund_001,General Fund,campus_001,One Life Center,ACH,active,2024-05-04,2026-02-13,2026-01-25
rec_4db5a048,donor_11b90df1,Jose Reyes,150,bi-weekly,fund_001,Missions,campus_001,One Life Center,Visa,active,2023-07-16,2026-02-23,2026-01-11
rec_c0116383,donor_6ae370d9,Nicholas Davis,200,monthly,fund_002,General Fund,campus_001,One Life Center,ACH,active,2024-05-25,2026-02-11,2026-01-28
rec_b5d99cf3,donor_96808a00,Nathan Miller,200,bi-weekly,fund_004,General Fund,campus_001,One Life Center,Visa,active,2023-07-16,2026-02-08,2026-01-25
rec_1593bde1,donor_2b60cb0f,Nicole Barnes,75,monthly,fund_001,General Fund,campus_001,One Life Center,Visa,active,2025-09-12,2026-02-23,2026-01-02
rec_6d2d1ed6,donor_82e25983,Ashley James,400,monthly,fund_001,General Fund,campus_001,One Life Center,Visa,active,2025-08-02,2026-02-18,2026-01-11
rec_9e0d9b4d,donor_d5230099,Janet Richardson,75,bi-weekly,fund_001,General Fund,campus_001,One Life Center,Mastercard,active,2024-04-27,2026-02-28,2026-01-11
rec_01b52cfb,donor_8f7e756d,David Powell,100,monthly,fund_001,General Fund,campus_001,One Life Center,Visa,active,2025-03-18,2026-02-22,2026-01-28
rec_67085f4e,donor_aa5cfa42,Michelle Mitchell,200,monthly,fund_002,General Fund,campus_001,One Life Center,Amex,paused,2023-10-05,,2026-01-15
